1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,number,street,total
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2301.0,"Valentine Ave Fordham, BX",1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2302.0,"Valentine Ave Fordham, BX",10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2310.0,"Valentine Ave Fordham, BX",4.0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,4.0,10.0,2.0,0.0,2314.0,"Valentine Ave Fordham, BX",30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2318.0,"Valentine Ave Fordham, BX",1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2327.0,"Valentine Ave Fordham, BX",4.0
0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2330.0,"Valentine Ave Fordham, BX",15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2333.0,"Valentine Ave Fordham, BX",1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,2335.0,"Valentine Ave Fordham, BX",14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2336.0,"Valentine Ave Fordham, BX",1.0
0.0,0.0,0.0,0.0,4.0,12.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2340.0,"Valentine Ave Fordham, BX",31.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2343.0,"Valentine Ave Fordham, BX",2.0
0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2350.0,"Valentine Ave Fordham, BX",12.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2359.0,"Valentine Ave Fordham, BX",1.0
2.0,4.0,0.0,0.0,0.0,1.0,12.0,2.0,1.0,9.0,1.0,7.0,1.0,0.0,2.0,1.0,0.0,1.0,5.0,5.0,2.0,0.0,3.0,3.0,2363.0,"Valentine Ave Fordham, BX",62.0
1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,8.0,7.0,0.0,0.0,0.0,3.0,2381.0,"Valentine Ave Fordham, BX",37.0
8.0,4.0,2.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,6.0,4.0,1.0,2.0,1.0,4.0,7.0,6.0,5.0,6.0,0.0,2385.0,"Valentine Ave Fordham, BX",72.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,2386.0,"Valentine Ave Fordham, BX",19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2388.0,"Valentine Ave Fordham, BX",2.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2390.0,"Valentine Ave Fordham, BX",8.0
1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2392.0,"Valentine Ave Fordham, BX",10.0
1.0,3.0,0.0,1.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,1.0,1.0,5.0,8.0,4.0,1.0,3.0,0.0,2395.0,"Valentine Ave Fordham, BX",49.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,1.0,2396.0,"Valentine Ave Fordham, BX",16.0
11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,0.0,4.0,1.0,2400.0,"Valentine Ave Fordham, BX",37.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2407.0,"Valentine Ave Fordham, BX",2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2411.0,"Valentine Ave Fordham, BX",1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2415.0,"Valentine Ave Fordham, BX",2.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2417.0,"Valentine Ave Fordham, BX",8.0
2.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,1.0,2.0,0.0,2425.0,"Valentine Ave Fordham, BX",38.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2429.0,"Valentine Ave Fordham, BX",2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2433.0,"Valentine Ave Fordham, BX",7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2437.0,"Valentine Ave Fordham, BX",4.0
0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2441.0,"Valentine Ave Fordham, BX",47.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2444.0,"Valentine Ave Fordham, BX",4.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2453.0,"Valentine Ave Fordham, BX",5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2462.0,"Valentine Ave Fordham, BX",3.0
2.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,18.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2463.0,"Valentine Ave Fordham, BX",49.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2465.0,"Valentine Ave Fordham, BX",2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2467.0,"Valentine Ave Fordham, BX",14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2473.0,"Valentine Ave Fordham, BX",1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,22.0,11.0,5.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2474.0,"Valentine Ave Fordham, BX",63.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2475.0,"Valentine Ave Fordham, BX",1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2477.0,"Valentine Ave Fordham, BX",16.0
2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2482.0,"Valentine Ave Fordham, BX",16.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2486.0,"Valentine Ave Fordham, BX",2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2494.0,"Valentine Ave Fordham, BX",1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2508.0,"Valentine Ave Fordham, BX",1.0
2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2510.0,"Valentine Ave Fordham, BX",12.0
1.0,1.0,0.0,1.0,6.0,4.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,0.0,3.0,6.0,1.0,1.0,2.0,3.0,1.0,2526.0,"Valentine Ave Fordham, BX",48.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,3.0,2527.0,"Valentine Ave Fordham, BX",27.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2537.0,"Valentine Ave Fordham, BX",12.0
